Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18
cb89aa29c10f8a7a58b9a4d46af091c9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637fbadc12efb10b933862902961bf30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5cf97f022126f97c719a0f34d773bc4f,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
f1146cbcf8d725905768d17558fbae13,8,43,77,119,15,0,70,245,68,27,86,90,3,26,8,66,25,55
42755c111826fa736d3a2a27755e89ba,0,0,26,7,0,0,4,8,11,21,34,58,27,0,85,0,0,13
ad08a1405516fe114e1ed5481e5ff486,13,0,11,0,4,0,19,11,9,41,11,52,59,0,38,11,0,0
6b4d5fa55e87783a74695016e38c8d10,15,4,9,0,0,0,17,0,62,0,0,0,0,0,0,24,14,50
2263262ba2ba7b67d4e486eab10b0a9e,0,0,0,17,22,0,7,18,0,22,0,0,14,0,3,0,7,7
5372e9a27746289bd2521fd9ea3d9043,0,0,0,0,0,0,37,0,12,6,0,0,0,0,0,9,12,38
0079627e9086b3fb766bc2a45e9b52aa,0,0,22,0,0,24,0,6,0,0,0,0,0,4,0,0,0,0
bdb1cfdd2f4e9622715cbf81fdbd35ef,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
67a42783f5395d9158c0ccd8f930ec47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0
60028df63bdbd942dc1cc2d997a181fd,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
e6415b2f20a55d219533192d3f64ac6e,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
08e3c5dd12bae5fcf0c896c833d0b916,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b9b44ea0292f21494bb61b6b8db92d61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
7001e155a389b1dfbf944ef8487dd99b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
